Square,Model,MAE,MAPE,RMSE,Train_time_s
4159,ARIMA,11.366205213106417,1346.173738023141,15.966370461390843,2.232820987701416
4159,LSTM,12.331811458231911,4666.341869370545,15.278320776550673,96.8035831451416
4159,GRU,13.647284474051025,7966.075580837678,15.733634808340504,91.97996664047241
4556,ARIMA,29.555735267371446,10956.085300051569,37.31784223047645,1.4352867603302002
4556,LSTM,23.34289979645242,24328.479629006124,31.047137775215553,97.36587619781494
4556,GRU,25.995914357534442,30099.432689372697,34.76555359552845,148.63591027259827
5059,ARIMA,136.7577864806728,417.23672569532306,192.40179211163053,2.040376901626587
5059,LSTM,109.54411698941412,2316.894174018183,122.56151528059107,108.22333812713623
5059,GRU,136.9681598067928,4131.444467244462,151.93088961243382,142.99108815193176
